time,Total Deaths,New Deaths
1582416000000,0,0
1582502400000,0,0
1582588800000,0,0
1582675200000,0,0
1582761600000,0,0
1582848000000,0,0
1582934400000,0,0
1583020800000,0,0
1583107200000,0,0
1583193600000,0,0
1583280000000,0,0
1583366400000,0,0
1583452800000,1,1
1583539200000,2,1
1583625600000,2,0
1583712000000,3,1
1583798400000,7,4
1583884800000,7,0
1583971200000,9,2
1584057600000,10,1
1584144000000,28,18
1584230400000,43,15
1584316800000,66,23
1584403200000,82,16
1584489600000,116,34
1584576000000,159,43
1584662400000,195,36
1584748800000,251,56
1584835200000,286,35
1584921600000,360,74
1585008000000,509,149
1585094400000,695,186
1585180800000,879,184
1585267200000,1163,284
1585353600000,1457,294
1585440000000,1672,215
1585526400000,2046,374
1585612800000,2429,383
1585699200000,3100,671
1585785600000,3752,652
1585872000000,4467,715
1585958400000,5228,761
1586044800000,5874,646
1586131200000,6445,571
1586217600000,7483,1038
1586304000000,8519,1036
1586390400000,9623,1104
1586476800000,10776,1153
1586563200000,11616,840
1586649600000,12302,686
1586736000000,13047,745
1586822400000,14095,1048
1586908800000,14941,846
1586995200000,15974,1033
1587081600000,16910,936
1587168000000,18028,1118
1587254400000,18527,499
1587340800000,19092,565
1587427200000,20264,1172
1587513600000,21111,847
1587600000000,21840,729
1587686400000,22853,1013
1587772800000,23697,844
1587859200000,24117,420
1587945600000,24458,341
1588032000000,25369,911
1588118400000,26166,797
1588204800000,26842,676
1588291200000,27583,741
1588377600000,28205,622
1588464000000,28520,315
1588550400000,28809,289
1588636800000,29501,692
1588723200000,30150,649
1588809600000,30689,539
1588896000000,31316,627
1588982400000,31662,346
1589068800000,31930,268
1589155200000,32141,211
1589241600000,32769,628
1589328000000,33264,495
1589414400000,33693,429
1589500800000,34078,385
1589587200000,34546,468
1589673600000,34716,170
1589760000000,34876,160
1589846400000,35422,546
1589932800000,35786,364
1590019200000,36124,338